127.0.0.1 - - [23/Apr/2025:09:34:04 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:34:05 +0530] "GET /spring-web-demo/ HTTP/1.1" 200 842
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:34:08 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:34:12 +0530] "GET /spring-web-demo/spring/employee/testing HTTP/1.1" 200 884
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:34:16 +0530] "GET /spring-web-demo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:36:19 +0530] "GET /spring-web-demo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:38:35 +0530] "GET /spring-web-demo/spring/employee/testing HTTP/1.1" 200 884
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:40:15 +0530] "GET /spring-web-demo/ HTTP/1.1" 200 972
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:40:25 +0530] "GET /spring-web-demo/spring/employee/testing HTTP/1.1" 200 884
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:40:34 +0530] "GET /spring-web-demo/ HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:40:39 +0530] "GET /spring-web-demo/spring/employee/testing HTTP/1.1" 200 884
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:42:02 +0530] "GET /spring-web-demo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:42:18 +0530] "GET /spring-web-demo/ HTTP/1.1" 200 1132
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:42:19 +0530] "GET /spring-web-demo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:44:03 +0530] "GET /spring-web-demo/ HTTP/1.1" 200 1216
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:44:31 +0530] "POST /spring-web-demo/spring/employee/save HTTP/1.1" 500 3645
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:48:17 +0530] "GET /spring-web-demo/ HTTP/1.1" 200 1306
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:48:18 +0530] "GET /spring-web-demo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:48:43 +0530] "GET /spring-web-demo/ HTTP/1.1" 200 1306
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:48:45 +0530] "GET /spring-web-demo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:48:45 +0530] "GET /spring-web-demo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:48:45 +0530] "GET /spring-web-demo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:48:47 +0530] "GET /spring-web-demo/spring/employee/testing HTTP/1.1" 200 884
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:48:50 +0530] "GET /spring-web-demo/spring/employee/testing HTTP/1.1" 200 884
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:48:50 +0530] "GET /spring-web-demo/spring/employee/testing HTTP/1.1" 200 884
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:48:52 +0530] "GET /spring-web-demo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:48:53 +0530] "GET /spring-web-demo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:48:53 +0530] "GET /spring-web-demo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:48:53 +0530] "GET /spring-web-demo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:48:54 +0530] "GET /spring-web-demo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:48:54 +0530] "GET /spring-web-demo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:48:54 +0530] "GET /spring-web-demo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:48:54 +0530] "GET /spring-web-demo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:48:55 +0530] "GET /spring-web-demo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:48:55 +0530] "GET /spring-web-demo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:48:55 +0530] "GET /spring-web-demo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:48:55 +0530] "GET /spring-web-demo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:48:56 +0530] "GET /spring-web-demo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:48:56 +0530] "GET /spring-web-demo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:49:14 +0530] "GET /spring-web-demo/spring/employee/testing HTTP/1.1" 200 884
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:49:18 +0530] "GET /spring-web-demo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:49:20 +0530] "GET /spring-web-demo/spring/employee/testing HTTP/1.1" 200 884
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:50:58 +0530] "GET /spring-web-demo/spring/employee/testing HTTP/1.1" 200 884
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:53:31 +0530] "GET /spring-web-demo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:53:34 +0530] "GET /spring-web-demo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:53:34 +0530] "GET /spring-web-demo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:53:35 +0530] "GET /spring-web-demo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:53:35 +0530] "GET /spring-web-demo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2025:09:53:38 +0530] "GET /spring-web-demo/spring/employee/testing HTTP/1.1" 200 884
